Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00       37     0.00     0.00  Teuchos::basic_FancyOStream_buf<char, std::char_traits<char> >::writeFrontMatter()
  0.00      0.07     0.00       37     0.00     0.00  MueLu::Level::IsAvailable(std::string const&, MueLu::FactoryBase const*) const
  0.00      0.07     0.00       35     0.00     0.00  bool& Teuchos::ParameterList::get<bool>(std::string const&)
  0.00      0.07     0.00       34     0.00     0.00  Teuchos::RCPNodeTmpl<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >, Teuchos::DeallocDelete<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::~RCPNodeTmpl()
  0.00      0.07     0.00       26     0.00     0.00  std::string& Teuchos::any_cast<std::string>(Teuchos::any&)
  0.00      0.07     0.00       26     0.00     0.00  Teuchos::MpiComm<int>::getRank() const
  0.00      0.07     0.00       24     0.00     0.00  MueLu::VariableContainer::Getter<Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::get(MueLu::VariableContainer::DataBase*, MueLu::VariableContainer::DataBase*&)
  0.00      0.07     0.00       24     0.00     0.00  Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >& MueLu::Level::Get<Teuchos::RCP<Xpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >(std::string const&, MueLu::FactoryBase const*)
  0.00      0.07     0.00       24     0.00     0.00  Teuchos::basic_OSTab<char, std::char_traits<char> >::~basic_OSTab()
  0.00      0.07     0.00       23     0.00     0.00  int& Teuchos::any_cast<int>(Teuchos::any&)
  0.00      0.07     0.00       22     0.00     0.00  double& Teuchos::any_cast<double>(Teuchos::any&)
  0.00      0.07     0.00       21     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::ParameterList, Teuchos::DeallocDelete<Teuchos::ParameterList> >::delete_obj()
  0.00      0.07     0.00       21     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::ParameterList, Teuchos::DeallocDelete<Teuchos::ParameterList> >::~RCPNodeTmpl()
  0.00      0.07     0.00       21     0.00     0.00  void Teuchos::ParameterList::validateEntryType<double>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const
  0.00      0.07     0.00       19     0.00     0.00  Teuchos::ParameterEntry::~ParameterEntry()
  0.00      0.07     0.00       19     0.00     0.00  Teuchos::MpiComm<int>::getSize() const
  0.00      0.07     0.00       18     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.07     0.00       18     0.00     0.00  xmlfltc_
  0.00      0.07     0.00       17     0.00     0.00  Teuchos::RCPNodeTmpl<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >, Teuchos::DeallocDelete<Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > > >::delete_obj()
  0.00      0.07     0.00       14     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<bool>(std::string const&, bool const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&)
  0.00      0.07     0.00       14     0.00     0.00  Xpetra::CrsMatrixWrap<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getDomainMap() const
  0.00      0.07     0.00       14     0.00     0.00  Xpetra::TpetraCrsMatrix<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getDomainMap() const
  0.00      0.07     0.00       13     0.00     0.00  void Teuchos::ParameterList::validateEntryType<int>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const
  0.00      0.07     0.00       12     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::MvDot(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<double, std::allocator<double> >&)
