Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00       13     0.00     0.00  void Teuchos::ParameterList::validateEntryType<int>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const (Teuchos_ParameterList.hpp:1132 @ 4d5a00)
  0.00      0.07     0.00       12     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::MvDot(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, std::vector<double, std::allocator<double> >&) (BelosTpetraAdapter.hpp:511 @ 51bcc0)
  0.00      0.07     0.00       12     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (basic_string.tcc:692 @ 4c90b0)
  0.00      0.07     0.00       11     0.00     0.00  Xpetra::TpetraMap<int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> >::getComm() const (Xpetra_TpetraMap.hpp:209 @ 48b2e0)
  0.00      0.07     0.00       10     0.00     0.00  void Teuchos::(anonymous namespace)::waitAllImpl<int>(Teuchos::ArrayView<Teuchos::RCP<Teuchos::CommRequest<int> > > const&) (Teuchos_DefaultMpiComm.hpp:1488 @ 4827b0)
  0.00      0.07     0.00       10     0.00     0.00  Teuchos::PerformanceMonitorBase<Teuchos::Time>::getNewCounter(std::string const&) (Teuchos_PerformanceMonitorBase.hpp:341 @ 4e2cd0)
  0.00      0.07     0.00        9     0.00     0.00  Belos::MultiVecTraits<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::Clone(Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> const&, int) (BelosTpetraAdapter.hpp:122 @ 4d5ee0)
  0.00      0.07     0.00        9     0.00     0.00  int& Teuchos::ParameterList::get<int>(std::string const&) (Teuchos_ParameterList.hpp:925 @ 4e7720)
  0.00      0.07     0.00        9     0.00     0.00  Teuchos::ParameterList& Teuchos::ParameterList::set<int>(std::string const&, int const&, std::string const&, Teuchos::RCP<Teuchos::ParameterEntryValidator const> const&) (Teuchos_ParameterList.hpp:830 @ 4db760)
  0.00      0.07     0.00        9     0.00     0.00  Belos::BiCGStabIter<double, Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false>, Tpetra::Operator<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace> > >::getProblem() const (BelosBiCGStabIter.hpp:244 @ 488530)
  0.00      0.07     0.00        9     0.00     0.00  void Teuchos::ParameterList::validateEntryType<std::string>(std::string const&, std::string const&, Teuchos::ParameterEntry const&) const (Teuchos_ParameterList.hpp:1132 @ 4d3070)
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::Time, Teuchos::DeallocDelete<Teuchos::Time> >::delete_obj() (Teuchos_RCPNode.hpp:537 @ 48cb40)
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::RCPNodeTmpl<Teuchos::Time, Teuchos::DeallocDelete<Teuchos::Time> >::~RCPNodeTmpl() (Teuchos_RCPNode.hpp:519 @ 4d1dd0)
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::any::holder<int>::typeName() const (Teuchos_any.hpp:205 @ 488a30)
  0.00      0.07     0.00        8     0.00     0.00  Teuchos::MpiComm<int>::waitAll(Teuchos::ArrayView<Teuchos::RCP<Teuchos::CommRequest<int> > > const&) const (Teuchos_DefaultMpiComm.hpp:1570 @ 4bc5c0)
  0.00      0.07     0.00        8     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&) (vector.tcc:407 @ 4ed0c0)
  0.00      0.07     0.00        8     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector() (stl_vector.h:423 @ 4c96e0)
  0.00      0.07     0.00        7     0.00     0.00  Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> >::operator=(Teuchos::RCP<Tpetra::MultiVector<double, int, int, Kokkos::Compat::KokkosDeviceWrapperNode<Kokkos::Serial, Kokkos::HostSpace>, false> > const&) (Teuchos_RCP.hpp:301 @ 4c9de0)
  0.00      0.07     0.00        7     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > std::_Rb_tree<std::string, std::pair<std::string const, Teuchos::RCP<Teuchos::Time> >, std::_Select1st<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::less<std::string>, std::allocator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > > >::_M_insert_unique_<std::pair<std::string, Teuchos::RCP<Teuchos::Time> > >(std::_Rb_tree_const_iterator<std::pair<std::string const, Teuchos::RCP<Teuchos::Time> > >, std::pair<std::string, Teuchos::RCP<Teuchos::Time> >&&) (stl_tree.h:1591 @ 4e2910)
